UnitID,Institution Name,Institution name alias,Street address,City,State,ZIP,Phone,Web address,Financial aid office web address,Admissions office web address,Online application web address,Net price calculator web address,Veterans and Military Servicemembers tuition policies web address,Student-Right-to-Know student athlete graduation rate web address,Disability Services Web Address,Fips County code,County,Longitude,Latitude
102313,H Councill Trenholm State Community College,Trenholm State,1225 Air Base Blvd,Montgomery,AL,36108,3344204200,www.trenholmstate.edu,www.trenholmstate.edu,www.trenholmstate.edu,www.trenholmstate.edu,www.trenholmstate.edu,https://www.trenholmstate.edu/uploads/catalog/2018-19_Catalog-Handbook_Full_Version.pdf, ,www.trenholmstate.edu,1101,Montgomery County,-86.343057,32.350109
101471,J F Ingram State Technical College,ISTC,5375 Ingram Rd,Deatsville,AL,36022,3342903242,www.istc.edu,https://istc.edu/wp-content/uploads/2019/04/Financial-Aid.pdf,https://istc.edu/student-services/, ,https://istc.edu/NetPrice/, , ,www.istc.edu,1051,Elmore County,-86.392369,32.582312
101462,J. F. Drake State Community and Technical College,Drake State,3421 Meridian St N,Huntsville,AL,35811,2565398161,www.drakestate.edu,www.drakestate.edu/admissions/financial_aid.aspx,www.drakestate.edu/admissions.aspx,https://ban-app.drakestate.edu:9000/PROD/bwskalog.P_DispLoginNon,www.drakestate.edu/admissions/net_price_calculator.aspx,www.drakestate.edu/sites/www/uploads/files/admissions/Frequently%20Asked%20Questions%20-%20VA%20Web%20Page.pdf, ,www.drakestate.edu/student_services/disability_support_services.aspx,1089,Madison County,-86.572885,34.771858
101505,Jefferson State Community College,Jeff State | JSCC | Jefferson State,2601 Carson Rd,Birmingham,AL,35215,2058531200,www.jeffersonstate.edu/,www.jeffersonstate.edu/financial-aid/,www.jeffersonstate.edu/become-a-student/,www.jeffersonstate.edu/admissions/application-types-2/,www.jeffersonstate.edu/financial-aid/net-price-calculator/,www.jeffersonstate.edu/financial/veterans/, ,https://library.jeffersonstate.edu/ADA,1073,Jefferson County,-86.707233,33.652535
101514,John C Calhoun State Community College,Calhoun Community College,6250 U S Highway 31 N,Tanner,AL,35671,2563062500,https://calhoun.edu/,https://calhoun.edu/student-services/financial-aid/,https://calhoun.edu/student-services/calhoun-admissions-records/,https://calhoun.edu/student-services/calhoun-admissions-records/applications-and-forms/,https://calhoun.edu/student-services/financial-aid/net-price-calculator/,https://calhoun.edu/student-services/financial-aid/veterans-benefits/,https://calhoun.edu/student-services/2392-2/,https://calhoun.edu/student-services/student-disability-services/,1083,Limestone County,-86.949674,34.645844
101569,Lawson State Community College, ,3060 Wilson Rd SW,Birmingham,AL,35221,2059252515,www.lawsonstate.edu,www.lawsonstate.edu/financial_aid.aspx,www.lawsonstate.edu/admissions_records.aspx,www.lawsonstate.edu/admissions_records/admissions_information/admission_procedures_for_all_students.aspx,www.lawsonstate.edu/disclosure_and_consumer_information/general_institutional_information/net_price_calculator.aspx,www.lawsonstate.edu/financial_aid/getting_started/veterans_benefits.aspx, ,www.lawsonstate.edu/student_services/disability_services_ada.aspx,1073,Jefferson County,-86.888844,33.450814
101602,Lurleen B Wallace Community College,Lurleen B. Wallace Community College |LBW Community College |LBWCC,1000 Dannelly Blvd.,Andalusia,AL,36420,3342226591,https://www.lbwcc.edu,https://www.lbwcc.edu/financial-aid,https://www.lbwcc.edu/student-services/admissions,https://access.lbwcc.edu/cgi-bin/admonline.mbr/login,https://www.lbwcc.edu/financial-aid/net-price-calculator,www.lbwcc.edu/financial-aid/veterans-benefits/veterans-affairs,www.lbwcc.edu/consumer-information,www.lbwcc.edu/student-services/admissions/special-accommodations,1039,Covington County,-86.452262,31.322947
101648,Marion Military Institute, ,1101 Washington St,Marion,AL,36756,8006641842,www.marionmilitary.edu,marionmilitary.edu/admissions/financial-aid/,www.marionmilitary.edu/admissions/,marionmilitary.emasservices.com/Apply.aspx,marionmilitary.edu/calculator/, ,marionmilitary.edu/about-mmi/consumer-info/,marionmilitary.edu/request-for-accomodations/,1105,Perry County,-87.322041,32.623734
101897,Northeast Alabama Community College,Northeast  NACC  Northeast Alabama State Junior College  Northeast Alabama State Community College,138  Highway 35,Rainsville,AL,35986,2566384418,https://www.nacc.edu,https://www.nacc.edu/admission-financial-aid/financial-aid,https://www.nacc.edu/admission-financial-aid/admissions,www.nacc.edu,https://www.nacc.edu/Content/Uploads/nacc.edu/files/Financial%20Aid/npcalc_2017.htm,https://www.nacc.edu/admission-financial-aid/financial-aid/veterans-benefits,www.nacc.edu/admission-financial-aid/financial-aid/consumer-information,https://www.nacc.edu/admission-financial-aid/admissions/disability-services,1071,Jackson County,-85.911664,34.545471
101736,Northwest-Shoals Community College, ,800 George Wallace Blvd,Muscle Shoals,AL,35661,2563315200,https://www.nwscc.edu,https://www.nwscc.edu/about-nw-scc/college-departments/student-services/financial-aid,https://www.nwscc.edu/about-nw-scc/college-departments/student-services/admissions,www.nwscc.edu/about-nw-scc/college-departments/student-services/admissions/apply-online,www.nwscc.edu/about-nw-scc/college-departments/student-services/financial-aid/future-students-financial-aid-calculator, , ,www.nwscc.edu/about-nw-scc/at-a-glance/policies/disability,1033,Colbert County,-87.678089,34.739788
101994,Reid State Technical College, ,100 and Hwy 83,Evergreen,AL,36401,2515781313,www.rstc.edu,www.rstc.edu,www.rstc.edu,www.rstc.edu,www.rstc.edu, , ,www.rstc.edu,1035,Conecuh County,-86.964797,31.460265
102067,Shelton State Community College, ,9500 Old Greensboro Rd,Tuscaloosa,AL,35405,2053912211,www.sheltonstate.edu,www.sheltonstate.edu/admissions-financial-aid/financial-aid/,www.sheltonstate.edu/admissions-financial-aid/,www.sheltonstate.edu/admissions-financial-aid/becoming-a-student/,apps.sheltonstate.edu/netpricecalculator/npcalc.htm,www.sheltonstate.edu/admissions-financial-aid/veterans-information-center/,www.sheltonstate.edu/about-us/consumer-information/,www.sheltonstate.edu/instruction-workforce-development/instruction-services-resources/disability-services/,1125,Tuscaloosa County,-87.561480,33.120531
102076,Snead State Community College, ,102 Elder Street,Boaz,AL,35957,2565935120,www.snead.edu,www.snead.edu/financial_aid.aspx,www.snead.edu/future_students/admissions.aspx,www.snead.edu/future_students/admissions.aspx,www.snead.edu/financial_aid/net_price_calculator.aspx,www.snead.edu/apply_today/military_students.aspx,www.snead.edu/athletics.aspx,www.snead.edu/academics/disability_support_services.aspx,1095,Marshall County,-86.169897,34.201495
251260,Southern Union State Community College, ,750 Roberts St,Wadley,AL,36276,2563952211,www.suscc.edu,www.suscc.edu,www.suscc.edu,www.suscc.edu,www.suscc.edu,www.suscc.edu,www.suscc.edu,www.suscc.edu,1111,Randolph County,-85.572382,33.128785
